id;creation_date;community_name;community_description;image;image_content_type;is_active;appuser_id
1;2021-06-22T06:57:44;Sleek;neural Montorgueil redundant;../fake-data/blob/hipster.png;image/png;false;1
2;2021-06-21T23:07:08;Gloves Sleek Money;Islands;../fake-data/blob/hipster.png;image/png;true;2
3;2021-06-21T20:51:46;SQL Clothing tan;Loan program Lettonie;../fake-data/blob/hipster.png;image/png;true;2
4;2021-06-22T16:06:12;c monitor RAM;Frozen deposit;../fake-data/blob/hipster.png;image/png;false;1
5;2021-06-22T14:03:51;monitor;Frozen Towels Rupee;../fake-data/blob/hipster.png;image/png;true;2
6;2021-06-21T20:31:56;c Agent fuchsia;de;../fake-data/blob/hipster.png;image/png;true;2
7;2021-06-22T06:04:14;GB Fish online;de global;../fake-data/blob/hipster.png;image/png;true;1
8;2021-06-21T19:32:29;Provence-Alpes-Côte;auxiliary digital seize;../fake-data/blob/hipster.png;image/png;false;1
9;2021-06-22T14:19:06;complexity Manager;drive;../fake-data/blob/hipster.png;image/png;false;1
10;2021-06-22T01:02:16;Account Hat;fault-tolerant platforms Rubber;../fake-data/blob/hipster.png;image/png;false;1
