id;creation_date;title;image;image_content_type;appuser_id
1;2021-06-22T10:30:30;Persistent Avon Cambridgeshire;../fake-data/blob/hipster.png;image/png;1
2;2021-06-21T16:19:54;e-commerce disintermediate;../fake-data/blob/hipster.png;image/png;2
3;2021-06-21T23:11:43;payment;../fake-data/blob/hipster.png;image/png;2
4;2021-06-22T06:24:16;Producteur;../fake-data/blob/hipster.png;image/png;1
5;2021-06-21T16:58:03;open-source;../fake-data/blob/hipster.png;image/png;1
6;2021-06-21T22:29:42;Saint-Marin Tuna;../fake-data/blob/hipster.png;image/png;1
7;2021-06-22T01:12:13;withdrawal Car;../fake-data/blob/hipster.png;image/png;1
8;2021-06-22T02:02:20;quantifying;../fake-data/blob/hipster.png;image/png;1
9;2021-06-21T17:48:21;Pastourelle repurpose Multi-layered;../fake-data/blob/hipster.png;image/png;2
10;2021-06-22T01:55:37;Balboa Plastic;../fake-data/blob/hipster.png;image/png;1
